Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,Penanganan,Kondisi_Kini,Perke_Kini
Jl. Baru Mberan,199,286.45,0+100,0+200,199,,,,,
Jl. Tani Jaya,487,400.35,0+300,0+400,487,,,,,
Jl. Kontak Tani,360,259.44,0+100,0+200,360,,,,,
Jl. Tani Unggul,502,763.48,0+600,0+700,502,,,,,
Jl. Tani Maju,492,348.56,0+200,0+300,492,,,,,
Jl. Tani Murni,496,578.93,0+400,0+500,496,,,,,
Jl. Cempaka Gg 4,222,154.12,0+000,0+100,222,,,,,
Jl. Gang Anggrek V,248,119.97,0+000,0+100,248,,,,,
GG. Anggrek III,1,106.00,0+000,0+100,1,,,,,
"Jl.Gg pisang (RT.3,4 RW.1)",549,128.72,0+000,0+100,549,,,,,
Jl. Pisang,437,170.08,0+000,0+100,437,,,,,
Jl. Pepaya,433,171.99,0+000,0+100,433,,,,,
Jl. Bali,193,343.94,0+200,0+300,193,,,,,
Jl.Gg. Kertorejan,551,127.55,0+000,0+100,551,,,,,
Jl.Gg. Timur Kecamatan,553,96.78,0+000,0+096,553,,,,,
Jl. Patimura,412,230.63,0+100,0+200,412,,,,,
Jl. Sawung Galing,465,392.04,0+200,0+300,465,,,,,
Jl. Gang Buntu,258,224.74,0+100,0+200,258,,,,,
Jl. Diponegoro 2,224,560.27,0+400,0+500,224,,,,,
Jl. Mawar 1,392,140.92,0+000,0+100,392,,,,,
Jl. Mawar 2,394,301.03,0+200,0+300,394,,,,,
Jl. Sultan Agung,483,322.08,0+200,0+300,483,,,,,
Jalan Mojopurno - Pilangrejo,96,706.55,0+600,0+700,96,,,,,
Jalan Pacing,113,2755.36,2+600,2+700,113,,,,,
Jalan Nusa Indah,107,587.06,0+400,0+500,107,,,,,
Jalan Teratai,162,417.67,0+300,0+400,162,,,,,
Jalan Seroja,143,744.55,0+600,0+700,143,,,,,
Jalan Kenongo,41,1158.62,1+000,1+100,41,,,,,
Jalan Kantil,17,428.00,0+300,0+400,17,,,,,
Jalan Mawar,62,368.41,0+200,0+300,62,,,,,
Jalan Melati,80,343.93,0+200,0+300,80,,,,,
Jalan Anthorium,5,450.00,0+300,0+400,5,,,,,
Jalan Sruni,156,190.68,0+000,0+100,156,,,,,
Jalan Sruni 1,158,117.53,0+000,0+100,158,,,,,
Jalan Sedap Malam,141,104.65,0+000,0+100,141,,,,,
Jalan Telasih,160,102.49,0+000,0+100,160,,,,,
Jalan Anggrek-Mayang Kembar IV,3,240.00,0+000,0+100,3,,,,,
Jalan Mayang Kembar,66,140.52,0+000,0+100,66,,,,,
Jalan Mayang Kembar I,68,205.28,0+100,0+200,68,,,,,
Jalan Mayang Kembar II,71,208.39,0+100,0+200,71,,,,,
Jalan Mayang Kembar III,74,210.85,0+100,0+200,74,,,,,
Jalan Mayang Kembar IV,77,202.25,0+100,0+200,77,,,,,
Jalan Wijaya Kusuma,167,261.75,0+100,0+200,167,,,,,
Jalan Wijaya Kusuma I,170,267.32,0+100,0+200,170,,,,,
Jalan Wijaya Kusuma II,173,180.06,0+000,0+100,173,,,,,
Jalan Menur,84,453.98,0+300,0+400,84,,,,,
Jalan Menur Gg. 1,89,262.49,0+100,0+200,89,,,,,
Jalan Menur Gg. 2,92,136.07,0+000,0+100,92,,,,,
Jalan Menur Gg. 3,94,89.92,0+000,0+089,94,,,,,
Jalan Menur Gg. 4,95,92.32,0+000,0+092,95,,,,,
Jalan Munggut Asri,104,249.71,0+100,0+200,104,,,,,
Jalan M Sholeh,59,215.08,0+100,0+200,59,,,,,
Jalan Cempaka,10,416.00,0+300,0+400,10,,,,,
Jalan Kantil I,32,143.91,0+000,0+100,32,,,,,
Jalan Kantil  II,22,94.88,0+000,0+094,22,,,,,
Jalan Kantil  III,23,206.00,0+100,0+200,23,,,,,
Jalan Kantil  IV,26,303.67,0+200,0+300,26,,,,,
Jalan Kantil V,34,65.69,0+000,0+065,34,,,,,
Jalan Kantil  VI,30,153.50,0+000,0+100,30,,,,,
Jalan Joharmanik,15,194.00,0+000,0+100,15,,,,,
Jalan Kenongo 2,53,350.86,0+200,0+300,53,,,,,
Jalan Kenongo 3,57,118.12,0+000,0+100,57,,,,,
Jalan Sri Rejeki,151,364.51,0+200,0+300,151,,,,,
Jalan Sri Rejeki I,155,82.99,0+000,0+082,155,,,,,
Jl. Kresno,363,117.03,0+000,0+100,363,,,,,
Jl. Sri Dewi,473,106.43,0+000,0+100,473,,,,,
Jl. Wijaya,514,341.85,0+200,0+300,514,,,,,
Jl. Gatot Kaca,289,347.26,0+200,0+300,289,,,,,
Jl. Abiyoso,184,238.54,0+100,0+200,184,,,,,
Jl. Baudayang,202,801.09,0+700,0+800,202,,,,,
Jl. Remaja,455,220.47,0+100,0+200,455,,,,,
Jl. Pemuda,415,398.53,0+200,0+300,415,,,,,
Jl. Lapangan,371,231.28,0+100,0+200,371,,,,,
Jl. H.Seto,323,173.31,0+000,0+100,323,,,,,
Jl. Pemuda Gang VII,430,146.99,0+000,0+100,430,,,,,
Jl. Pemuda Gang VI,428,102.60,0+000,0+100,428,,,,,
Jl. Pemuda Gang V,427,100.83,0+000,0+100,427,,,,,
Jl. Pemuda Gang IV,425,102.56,0+000,0+100,425,,,,,
Jl. Pemuda Gang III,423,103.05,0+000,0+100,423,,,,,
Jl. Pemuda Gang II,421,102.24,0+000,0+100,421,,,,,
Jl. Pemuda Gang I,419,102.49,0+000,0+100,419,,,,,
Jl. Pemuda Gang VIII,432,52.45,0+000,0+052,432,,,,,
Jl. Baru,197,188.60,0+000,0+100,197,,,,,
JALAN KASATRIAN,35,509.89,0+400,0+500,35,,,,,
Jl. Ki. Ageng Basyariyah,347,607.41,0+500,0+600,347,,,,,
Jl. Masjid,376,687.89,0+500,0+600,376,,,,,
Jl. Ki. Ageng Basyariyah Gang 1,354,37.95,0+000,0+037,354,,,,,
Jl. Ki. Ageng Basyariyah Gang 2,355,44.42,0+000,0+044,355,,,,,
Jl. Ki. Ageng Basyariyah Gang 3,356,40.18,0+000,0+040,356,,,,,
Jl. Ki. Ageng Basyariyah Gang 4,357,53.21,0+000,0+053,357,,,,,
Jl. Ki. Ageng Basyariyah Gang 5,358,24.12,0+000,0+024,358,,,,,
Jl. Kebon Pisang,341,191.60,0+000,0+100,341,,,,,
Jl. Wiroto II,519,95.88,0+000,0+095,519,,,,,
Jl. Wiroto,518,54.64,0+000,0+054,518,,,,,
Jl. Gang Buntu,261,51.58,0+000,0+051,261,,,,,
Jl. Puntuk I,446,74.34,0+000,0+074,446,,,,,
Jl. Puntuk II,447,77.90,0+000,0+077,447,,,,,
Jl. K.A.Moch Basari,328,109.13,0+000,0+100,328,,,,,
Jl. Rajawali,448,311.56,0+200,0+300,448,,,,,
Jl. Gang Tangah,285,260.33,0+100,0+200,285,,,,,
Jl. Iromito,325,197.01,0+000,0+100,325,,,,,
Jl. Gang Rukun,273,112.03,0+000,0+100,273,,,,,
Jl. Panji 1,406,125.12,0+000,0+100,406,,,,,
Jl. Panji 2,408,115.65,0+000,0+100,408,,,,,
Jl. Panji 3,410,171.00,0+000,0+100,410,,,,,
Jl. Rukun,461,142.14,0+000,0+100,461,,,,,
Jl. Arjuno,190,118.93,0+000,0+100,190,,,,,
Jl. Rajawali Gg.1,452,136.22,0+000,0+100,452,,,,,
Jl. Remaja Gang 1,458,51.81,0+000,0+051,458,,,,,
Jl. Arjuno Gg.1,192,73.12,0+000,0+073,192,,,,,
Jl. Remaja Gang 2,459,52.28,0+000,0+052,459,,,,,
Jl. Remaja Gang 3,460,62.44,0+000,0+062,460,,,,,
Jl. Gg. Kelurahan,318,131.77,0+000,0+100,318,,,,,
Jl. Gg. Nanas,321,79.58,0+000,0+079,321,,,,,
Jl. Gg. Mlinjo,320,75.81,0+000,0+075,320,,,,,
Jl. Gg. Kelapa,316,128.69,0+000,0+100,316,,,,,
Jl. Gg Borobudur,305,31.98,0+000,0+031,305,,,,,
Jl. Gg. Jeruk,314,110.11,0+000,0+100,314,,,,,
