FID,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR
74,Jl. Klitik-Dimong,1,8.1,8+000,8+100
165,Jl. Klitik-Dimong,1,8.1,0+000,0+100
166,Jl. Klitik-Dimong,1,8.1,0+100,0+200
167,Jl. Klitik-Dimong,1,8.1,0+200,0+300
168,Jl. Klitik-Dimong,1,8.1,0+300,0+400
169,Jl. Klitik-Dimong,1,8.1,0+400,0+500
170,Jl. Klitik-Dimong,1,8.1,0+500,0+600
171,Jl. Klitik-Dimong,1,8.1,0+600,0+700
172,Jl. Klitik-Dimong,1,8.1,0+700,0+800
173,Jl. Klitik-Dimong,1,8.1,0+800,0+900
174,Jl. Klitik-Dimong,1,8.1,0+900,1+000
175,Jl. Klitik-Dimong,1,8.1,1+000,1+100
176,Jl. Klitik-Dimong,1,8.1,1+100,1+200
177,Jl. Klitik-Dimong,1,8.1,1+200,1+300
178,Jl. Klitik-Dimong,1,8.1,1+300,1+400
179,Jl. Klitik-Dimong,1,8.1,1+400,1+500
180,Jl. Klitik-Dimong,1,8.1,1+500,1+600
181,Jl. Klitik-Dimong,1,8.1,1+600,1+700
182,Jl. Klitik-Dimong,1,8.1,1+700,1+800
183,Jl. Klitik-Dimong,1,8.1,1+800,1+900
184,Jl. Klitik-Dimong,1,8.1,1+900,2+000
185,Jl. Klitik-Dimong,1,8.1,2+000,2+100
186,Jl. Klitik-Dimong,1,8.1,2+100,2+200
187,Jl. Klitik-Dimong,1,8.1,2+200,2+300
188,Jl. Klitik-Dimong,1,8.1,2+300,2+400
189,Jl. Klitik-Dimong,1,8.1,2+400,2+500
190,Jl. Klitik-Dimong,1,8.1,2+500,2+600
191,Jl. Klitik-Dimong,1,8.1,2+600,2+700
192,Jl. Klitik-Dimong,1,8.1,2+700,2+800
193,Jl. Klitik-Dimong,1,8.1,2+800,2+900
194,Jl. Klitik-Dimong,1,8.1,2+900,3+000
195,Jl. Klitik-Dimong,1,8.1,3+000,3+100
196,Jl. Klitik-Dimong,1,8.1,3+100,3+200
197,Jl. Klitik-Dimong,1,8.1,3+200,3+300
198,Jl. Klitik-Dimong,1,8.1,3+300,3+400
199,Jl. Klitik-Dimong,1,8.1,3+400,3+500
200,Jl. Klitik-Dimong,1,8.1,3+500,3+600
201,Jl. Klitik-Dimong,1,8.1,3+600,3+700
202,Jl. Klitik-Dimong,1,8.1,3+700,3+800
203,Jl. Klitik-Dimong,1,8.1,3+800,3+900
204,Jl. Klitik-Dimong,1,8.1,3+900,4+000
205,Jl. Klitik-Dimong,1,8.1,4+000,4+100
206,Jl. Klitik-Dimong,1,8.1,4+100,4+200
207,Jl. Klitik-Dimong,1,8.1,4+200,4+300
208,Jl. Klitik-Dimong,1,8.1,4+300,4+400
209,Jl. Klitik-Dimong,1,8.1,4+400,4+500
210,Jl. Klitik-Dimong,1,8.1,4+500,4+600
211,Jl. Klitik-Dimong,1,8.1,4+600,4+700
212,Jl. Klitik-Dimong,1,8.1,4+700,4+800
213,Jl. Klitik-Dimong,1,8.1,4+800,4+900
214,Jl. Klitik-Dimong,1,8.1,4+900,5+000
215,Jl. Klitik-Dimong,1,8.1,5+000,5+100
216,Jl. Klitik-Dimong,1,8.1,5+100,5+200
217,Jl. Klitik-Dimong,1,8.1,5+200,5+300
218,Jl. Klitik-Dimong,1,8.1,5+300,5+400
219,Jl. Klitik-Dimong,1,8.1,5+400,5+500
220,Jl. Klitik-Dimong,1,8.1,5+500,5+600
221,Jl. Klitik-Dimong,1,8.1,5+600,5+700
222,Jl. Klitik-Dimong,1,8.1,5+700,5+800
223,Jl. Klitik-Dimong,1,8.1,5+800,5+900
224,Jl. Klitik-Dimong,1,8.1,5+900,6+000
225,Jl. Klitik-Dimong,1,8.1,6+000,6+100
226,Jl. Klitik-Dimong,1,8.1,6+100,6+200
227,Jl. Klitik-Dimong,1,8.1,6+200,6+300
228,Jl. Klitik-Dimong,1,8.1,6+300,6+400
229,Jl. Klitik-Dimong,1,8.1,6+400,6+500
230,Jl. Klitik-Dimong,1,8.1,6+500,6+600
231,Jl. Klitik-Dimong,1,8.1,6+600,6+700
232,Jl. Klitik-Dimong,1,8.1,6+700,6+800
233,Jl. Klitik-Dimong,1,8.1,6+800,6+900
234,Jl. Klitik-Dimong,1,8.1,6+900,7+000
235,Jl. Klitik-Dimong,1,8.1,7+000,7+100
236,Jl. Klitik-Dimong,1,8.1,7+100,7+200
237,Jl. Klitik-Dimong,1,8.1,7+200,7+300
238,Jl. Klitik-Dimong,1,8.1,7+300,7+400
239,Jl. Klitik-Dimong,1,8.1,7+400,7+500
240,Jl. Klitik-Dimong,1,8.1,7+500,7+600
241,Jl. Klitik-Dimong,1,8.1,7+600,7+700
242,Jl. Klitik-Dimong,1,8.1,7+700,7+800
243,Jl. Klitik-Dimong,1,8.1,7+800,7+900
244,Jl. Klitik-Dimong,1,8.1,7+900,8+000
245,Jl. Klitik-Dimong,1,8.1,8+100,8+127
2,Jl. Bajulan-Kenongorejo,2,5.35,5+200,5+300
246,Jl. Bajulan-Kenongorejo,2,5.35,0+000,0+100
247,Jl. Bajulan-Kenongorejo,2,5.35,0+100,0+200
248,Jl. Bajulan-Kenongorejo,2,5.35,0+200,0+300
249,Jl. Bajulan-Kenongorejo,2,5.35,0+300,0+400
250,Jl. Bajulan-Kenongorejo,2,5.35,0+400,0+500
251,Jl. Bajulan-Kenongorejo,2,5.35,0+500,0+600
252,Jl. Bajulan-Kenongorejo,2,5.35,0+600,0+700
253,Jl. Bajulan-Kenongorejo,2,5.35,0+700,0+800
254,Jl. Bajulan-Kenongorejo,2,5.35,0+800,0+900
255,Jl. Bajulan-Kenongorejo,2,5.35,0+900,1+000
256,Jl. Bajulan-Kenongorejo,2,5.35,1+000,1+100
257,Jl. Bajulan-Kenongorejo,2,5.35,1+100,1+200
258,Jl. Bajulan-Kenongorejo,2,5.35,1+200,1+300
259,Jl. Bajulan-Kenongorejo,2,5.35,1+300,1+400
260,Jl. Bajulan-Kenongorejo,2,5.35,1+400,1+500
261,Jl. Bajulan-Kenongorejo,2,5.35,1+500,1+600
262,Jl. Bajulan-Kenongorejo,2,5.35,1+600,1+700
263,Jl. Bajulan-Kenongorejo,2,5.35,1+700,1+800
264,Jl. Bajulan-Kenongorejo,2,5.35,1+800,1+900
265,Jl. Bajulan-Kenongorejo,2,5.35,1+900,2+000
266,Jl. Bajulan-Kenongorejo,2,5.35,2+000,2+100
267,Jl. Bajulan-Kenongorejo,2,5.35,2+100,2+200
268,Jl. Bajulan-Kenongorejo,2,5.35,2+200,2+300
269,Jl. Bajulan-Kenongorejo,2,5.35,2+300,2+400
270,Jl. Bajulan-Kenongorejo,2,5.35,2+400,2+500
271,Jl. Bajulan-Kenongorejo,2,5.35,2+500,2+600
272,Jl. Bajulan-Kenongorejo,2,5.35,2+600,2+700
